Weight Sum,Execution Time (s),Vertices
5906.0,2.1915228366851807,1000
2464.0,0.0020074844360351562,20
3838.0,0.014965534210205078,50
4155.0,0.04950714111328125,100
4190.0,0.21077704429626465,300
4779.0,0.6172618865966797,500
5906.0,2.254340410232544,1000
