Weight Sum,Execution Time (s),Vertices
2464.00,0.06,20
3838.00,0.03,50
4155.00,0.05,100
4190.00,0.26,300
4779.00,0.52,500
5906.00,2.16,1000
2464.00,0.03,20
3838.00,0.05,50
2464.00,0.02,20
3838.00,0.03,50
3838.00,0.103868,50,615568.00
2464.00,0.031863,20,100268.00
2855.00,0.056360,100,2472351.00
