Node,NextNode
1,48
48,20
20,33
33,12
12,35
35,30
30,5
5,50
50,42
42,13
13,34
34,21
21,14
14,36
36,24
24,18
18,38
38,23
23,26
26,28
28,4
4,44
44,39
39,32
32,19
19,25
25,9
9,15
15,7
7,46
46,43
43,31
31,45
45,27
27,3
3,17
17,49
49,22
22,10
10,41
41,16
16,47
47,29
29,11
11,37
37,6
6,40
40,8
8,2
2,1

Total weight of the route,2106
Sum of all edge weights in the graph,615568
